"CastID","CastFilmID","CastActorID","CastCharacterName"
"638","126","286","David Starsky"
"639","126","289","Huggy Bear"
"640","126","288","Captain Doby"
"641","126","181","Reese Feldman"
"642","126","287","Kitty"
"643","126","290","Manetti"
"644","126","69","Disco DJ"
"645","127","143","Miles"
"646","127","221","Marylin"
"647","127","62","Donovan Donaly"
"648","127","99","Howard D. Doyle"
"649","73","293","Faramir"
"650","74","293","Faramir"
"651","128","291","King Leonidas"
"652","128","294","Queen Gorgo"
"653","128","292","Theron"
"654","128","293","Dilios"
"655","129","242","Captain Jean-Luc Picard"
"656","129","259","Commander William T. Riker"
"657","129","184","Lt. Commander Data"
"658","129","260","Lt. Commander Geordi La Forge"
"659","129","261","Lt. Commander Worf"
"660","129","262","Dr. Beverly Crusher"
"661","129","263","Commander Deanna Troi"
"662","129","284","The Reman Viceroy"
"663","146","242","Captain Jean-Luc Picard"
"664","146","259","Commander William T. Riker"
"665","146","184","Lt. Commander Data"
"666","146","260","Lt. Commander Geordi La Forge"
"667","146","261","Lt. Commander Worf"
"668","146","262","Dr. Beverly Crusher"
"669","146","263","Commander Deanna Troi"
"670","146","187","Dr. Zefram Cochrane"
"671","160","242","Captain Jean-Luc Picard"
"672","160","259","Commander William T. Riker"
"673","160","184","Lt. Commander Data"
"674","160","260","Lt. Commander Geordi La Forge"
"675","160","261","Lt. Commander Worf"
"676","160","262","Dr. Beverly Crusher"
"677","160","263","Commander Deanna Troi"
"678","160","298","Captain James T. Kirk"
"679","160","295","Dr. Tolian Soran"
"680","160","296","Captain Montgomery ""Scotty"" Scott"
"681","160","297","Commander Pavel Chekov"
"682","225","298","Admiral James T. Kirk"
"683","225","299","Captain Spock"
"684","225","300","Dr. Leonard ""Bones"" McCoy"
"685","225","296","Commander Montgomery ""Scotty"" Scott"
"686","225","297","Commander Pavel Chekov"
"688","225","301","Commander Hikaru Sulu"
"689","225","302","Commander Uhura"
"690","225","303","Khan"
"700","162","296","Commander Montgomery ""Scotty"" Scott"
"701","162","297","Lt. Pavel Chekov"
